survey_year,citizenship_status,place_birth,immigrant_generation,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2010,2,2,1,2,2,NA,1,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,1,2,2,1,1,1,NA
2010,2,1,2,1,2,NA,1,NA
2010,2,2,1,2,1,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,NA,1,2,1,1,1,NA,NA
2010,1,2,1,1,2,2,1,NA
2010,NA,2,1,2,1,2,1,NA
2010,1,2,1,1,2,NA,1,NA
2010,NA,1,2,1,1,2,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,1,NA,NA,NA,NA,NA,NA,NA
2010,1,NA,NA,2,2,NA,NA,NA
2010,NA,1,2,2,2,2,1,NA
2010,NA,1,2,NA,2,1,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,1,2,1,NA
2010,NA,1,2,1,1,NA,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,1,NA,NA,1,2,NA,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,NA,1,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,2,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,NA,NA,2,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,1,2,2,2,2,NA,NA
2010,1,1,2,1,2,1,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,NA,2,1,2,2,1,NA,NA
2010,NA,2,1,NA,1,1,1,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,1,2,1,1,1,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,1,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,2,1,1,1,2,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,1,2,1,NA,NA,NA,NA
2010,1,2,1,2,2,1,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,2,2,1,1,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,1,NA,1,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,1,1,2,2,2,1,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,1,2,1,2,NA,NA,NA
2010,NA,2,1,1,1,2,NA,NA
2010,NA,2,1,NA,2,NA,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,2,2,1,NA,1,NA,NA,NA
2010,2,1,2,1,2,NA,1,NA
2010,NA,2,1,2,2,NA,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,NA,1,2,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,NA,2,2,0,NA
2010,NA,1,2,2,1,1,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,1,2,1,2,2,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,NA,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,NA,NA,1,2,NA,NA,NA
2010,NA,2,1,1,1,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,NA,1,2,1,1,1,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,1,2,1,NA,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,2,1,NA,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,1,2,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,NA,NA,NA,NA,NA,1,NA
2010,NA,2,1,NA,1,2,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,1,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,NA,2,NA,NA,NA
2010,NA,2,1,2,1,1,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,1,2,1,2,NA,NA,NA
2010,1,2,1,2,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,NA,NA,1,1,NA,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,2,NA,NA,NA,NA,NA,NA,NA
2010,NA,1,2,2,2,2,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,1,2,NA,1,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,1,2,1,2,1,0,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,NA,1,NA
2010,NA,2,1,NA,2,2,NA,NA
2010,2,1,2,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,1,NA,1,NA
2010,NA,1,2,2,1,NA,NA,NA
2010,NA,1,2,NA,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,0,NA
2010,NA,1,2,NA,1,1,0,NA
2010,2,2,1,1,2,NA,0,NA
2010,2,1,2,NA,2,NA,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,NA,2,2,NA,NA
2010,NA,2,1,2,NA,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,NA,1,2,2,2,2,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,1,2,1,2,2,2,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,NA,NA,NA,2,NA,1,NA
2010,NA,2,1,2,1,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,1,2,1,2,2,NA,NA
2010,NA,1,2,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,NA,NA,NA,NA,2,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,1,2,1,2,1,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,1,2,1,NA,NA
2010,1,1,2,1,1,1,1,NA
2010,1,2,1,NA,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,NA,2,1,1,1,2,NA,NA
2010,2,NA,NA,1,NA,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,2,NA,NA,1,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,NA,2,1,2,2,1,NA,NA
2010,1,2,1,1,2,1,1,NA
2010,NA,2,1,1,2,2,1,NA
2010,1,2,1,2,2,1,1,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,1,NA,1,NA
2010,1,1,2,2,2,2,NA,NA
2010,NA,1,2,NA,2,2,NA,NA
2010,NA,2,1,1,1,2,1,NA
2010,NA,2,1,2,2,2,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,1,2,1,NA,2,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,1,2,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,1,2,1,1,1,2,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,2,2,1,NA,2,NA,1,NA
2010,2,2,1,2,2,NA,1,NA
2010,1,NA,NA,2,NA,NA,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,NA,2,1,2,1,2,1,NA
2010,1,2,1,1,2,2,1,NA
2010,1,2,1,2,2,2,0,NA
2010,NA,1,2,1,1,1,NA,NA
2010,1,2,1,2,1,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,1,2,2,1,1,1,NA
2010,1,NA,NA,NA,NA,NA,NA,NA
2010,1,1,2,2,2,2,1,NA
2010,1,1,2,2,1,2,NA,NA
2010,1,2,1,1,2,2,0,NA
2010,1,1,2,NA,NA,1,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,1,1,2,1,2,2,NA,NA
2010,NA,2,1,1,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,1,2,2,2,1,1,NA
2010,NA,1,2,2,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,1,2,1,1,2,NA,NA
2010,1,2,1,NA,2,2,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,2,1,2,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,NA,2,1,1,2,1,1,NA
2010,1,NA,NA,NA,2,1,NA,NA
2010,2,1,2,2,1,NA,NA,NA
2010,1,1,2,1,1,2,1,NA
2010,1,2,1,NA,2,2,NA,NA
2010,NA,2,1,2,2,1,NA,NA
2010,1,2,1,2,2,2,0,NA
2010,1,2,1,2,2,2,1,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,1,2,2,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,1,2,2,2,2,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,NA,1,2,2,1,2,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,1,2,1,NA,2,2,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,1,2,1,2,NA,0,NA
2010,1,2,1,2,2,1,NA,NA
2010,NA,2,1,1,2,2,0,NA
2010,1,2,1,1,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,1,2,1,1,1,1,NA
2010,1,2,1,2,2,2,NA,NA
2010,1,1,2,2,2,2,1,NA
2010,NA,1,2,2,2,2,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,1,1,NA,NA
2010,2,2,1,1,NA,NA,NA,NA
2010,1,NA,NA,2,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,1,2,1,2,2,2,1,NA
2010,1,2,1,1,1,NA,NA,NA
2010,2,1,2,2,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,1,2,1,NA,NA
2010,NA,2,1,1,2,1,NA,NA
2010,2,NA,NA,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,NA,2,1,2,1,1,1,NA
2010,2,1,2,2,2,NA,1,NA
2010,NA,2,1,2,2,NA,1,NA
2010,NA,2,1,2,2,2,NA,NA
2010,1,2,1,2,2,1,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,NA,NA,NA,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,1,2,NA,1,1,1,NA
2010,NA,2,1,2,1,2,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,1,1,2,NA,NA,2,NA,NA
2010,NA,1,2,1,1,1,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,1,2,2,1,1,1,NA
2010,NA,1,2,1,2,2,NA,NA
2010,1,2,1,NA,2,2,NA,NA
2010,2,1,2,1,NA,NA,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,2,1,2,2,1,NA,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,2,2,1,NA,NA,NA,NA,NA
2010,NA,1,2,1,NA,2,1,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,NA,NA,1,2,2,NA,NA
2010,NA,2,1,2,1,1,1,NA
2010,NA,1,2,2,1,1,1,NA
2010,1,1,2,1,2,2,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,1,2,2,2,NA,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,1,2,1,2,2,2,1,NA
2010,2,1,2,2,1,NA,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,2,NA,NA,1,2,NA,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,1,1,2,1,2,2,1,NA
2010,2,1,2,2,2,NA,NA,NA
2010,1,2,1,1,2,2,1,NA
2010,1,2,1,1,2,NA,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,2,2,2,1,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,1,1,NA,NA,NA
2010,NA,1,2,1,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,1,2,1,1,2,2,1,NA
2010,NA,1,2,1,2,2,NA,NA
2010,NA,1,2,1,2,2,NA,NA
2010,2,2,1,NA,2,NA,1,NA
2010,1,1,2,2,2,NA,NA,NA
2010,2,2,1,1,NA,NA,NA,NA
2010,NA,1,2,2,NA,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,NA,2,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,1,2,1,2,NA,NA,NA
2010,1,2,1,1,2,2,1,NA
2010,1,1,2,NA,1,NA,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,1,2,2,2,2,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,1,1,2,2,2,2,1,NA
2010,1,2,1,1,2,2,1,NA
2010,NA,1,2,2,2,NA,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,NA,1,2,2,1,1,0,NA
2010,1,2,1,1,1,2,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,1,2,1,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,2,1,1,2,2,0,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,NA,2,2,1,NA
2010,NA,2,1,2,2,2,1,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,1,1,2,0,NA
2010,NA,1,2,2,1,1,1,NA
2010,1,2,1,2,1,1,1,NA
2010,NA,2,1,1,2,2,1,NA
2010,1,2,1,2,2,2,1,NA
2010,1,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,1,1,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,1,2,1,NA,2,1,NA,NA
2010,NA,2,1,1,1,1,1,NA
2010,NA,2,1,1,1,1,1,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,1,NA,NA,2,2,2,1,NA
2010,1,2,1,NA,NA,2,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,1,2,2,1,NA
2010,NA,1,2,NA,1,1,1,NA
2010,NA,2,1,1,1,NA,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,NA,NA,2,2,1,0,NA
2010,NA,2,1,2,1,1,NA,NA
2010,NA,1,2,2,2,2,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,NA,NA,2,1,NA,1,NA
2010,NA,1,2,1,NA,NA,1,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,1,2,2,1,NA
2010,NA,2,1,2,1,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,1,2,2,1,NA,NA,NA
2010,NA,1,2,1,2,1,NA,NA
2010,NA,2,1,1,2,1,1,NA
2010,1,1,2,1,2,1,0,NA
2010,NA,2,1,2,1,1,NA,NA
2010,NA,2,1,1,1,2,1,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,1,2,1,2,2,1,NA
2010,NA,2,1,1,1,NA,0,NA
2010,2,2,1,2,2,NA,1,NA
2010,1,1,2,2,2,2,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,1,2,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,1,2,2,1,2,1,NA
2010,NA,2,1,2,NA,NA,1,NA
2010,NA,2,1,NA,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,1,2,1,1,2,NA,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,1,2,1,2,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,1,2,2,1,NA,1,NA
2010,2,1,2,1,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,1,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,NA,NA,NA,NA,NA,NA,NA
2010,2,1,2,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,2,1,2,1,2,NA,1,NA
2010,1,2,1,NA,2,NA,NA,NA
2010,2,1,2,1,2,NA,NA,NA
2010,2,NA,NA,1,2,NA,1,NA
2010,1,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,1,2,1,2,2,1,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,NA,1,2,2,2,2,NA,NA
2010,2,1,2,1,2,NA,NA,NA
2010,NA,2,1,2,1,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,1,1,2,2,2,2,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,NA,1,2,1,2,NA,NA,NA
2010,NA,1,2,1,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,1,1,1,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,1,NA,NA
2010,NA,1,2,2,2,2,NA,NA
2010,NA,2,1,1,2,2,0,NA
2010,2,1,2,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,1,NA,NA
2010,2,1,2,1,NA,NA,1,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,NA,1,1,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,1,2,1,NA,NA,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,2,2,NA,NA,NA
2010,2,NA,NA,NA,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,1,2,1,1,2,2,1,NA
2010,1,2,1,2,2,1,NA,NA
2010,2,1,2,2,2,NA,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,2,1,2,0,NA
2010,NA,2,1,1,1,2,NA,NA
2010,1,2,1,1,2,1,1,NA
2010,NA,2,1,1,2,2,NA,NA
2010,1,2,1,NA,2,NA,0,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,NA,NA,NA,2,NA,1,NA,NA
2010,NA,2,1,2,1,1,1,NA
2010,2,1,2,1,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,1,1,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,2,2,1,1,NA,NA,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,1,2,2,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,1,2,1,2,1,NA,NA,NA
2010,1,2,1,2,2,2,NA,NA
2010,NA,2,1,1,NA,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,1,2,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,1,1,2,2,2,2,1,NA
2010,NA,1,2,2,2,2,NA,NA
2010,1,1,2,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,1,2,2,2,NA,1,NA
2010,NA,2,1,1,1,NA,1,NA
2010,1,2,1,2,2,1,1,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,2,1,2,1,NA,NA,NA,NA
2010,NA,2,1,1,2,1,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,2,1,2,2,1,NA,NA
2010,NA,2,1,NA,1,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,NA,2,2,1,NA
2010,NA,1,2,1,NA,1,1,NA
2010,2,NA,NA,NA,NA,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,1,2,1,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,1,2,1,2,1,2,1,NA
2010,NA,2,1,1,2,NA,1,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,NA,NA,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,NA,NA,NA,NA,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,1,2,NA,NA
2010,NA,2,1,1,2,2,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,1,2,1,2,2,1,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,1,2,2,2,NA,0,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,2,2,1,1,1,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,1,NA,NA,NA
2010,2,2,1,1,NA,NA,1,NA
2010,2,1,2,NA,2,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,2,1,2,2,2,NA,NA,NA
2010,NA,1,2,2,1,2,NA,NA
2010,NA,1,2,1,NA,NA,NA,NA
2010,NA,1,2,1,2,2,NA,NA
2010,NA,2,1,1,2,1,NA,NA
2010,NA,2,1,2,2,1,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,1,2,NA,1,NA
2010,NA,2,1,2,NA,1,NA,NA
2010,NA,2,1,1,2,1,1,NA
2010,2,2,1,1,NA,NA,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,NA,NA,NA,NA,NA,1,NA
2010,NA,1,2,1,2,2,1,NA
2010,2,2,1,2,2,NA,1,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,2,1,2,1,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,NA,2,1,2,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,2,1,2,1,2,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,2,2,NA,1,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,NA,NA,1,1,1,1,NA
2010,1,1,2,1,2,1,NA,NA
2010,1,2,1,1,1,1,1,NA
2010,1,2,1,1,2,2,NA,NA
2010,1,2,1,2,1,2,1,NA
2010,1,2,1,2,2,NA,1,NA
2010,1,2,1,1,2,NA,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,NA,NA,NA,1,2,NA,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,NA,2,1,NA,2,NA,NA,NA
2010,NA,1,2,2,2,NA,1,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,1,1,NA,NA,NA
2010,NA,2,1,2,2,2,NA,NA
2010,NA,2,1,1,2,2,NA,NA
2010,NA,2,1,2,2,NA,NA,NA
2010,NA,2,1,1,1,1,1,NA
2010,1,1,2,2,2,NA,NA,NA
2010,NA,2,1,2,2,1,1,NA
2010,NA,1,2,1,1,2,NA,NA
2010,NA,2,1,2,2,2,1,NA
2010,NA,2,1,1,2,2,NA,NA
2010,2,2,1,1,2,NA,NA,NA
2010,1,1,2,NA,2,2,NA,NA
2010,2,2,1,2,2,NA,NA,NA
2010,2,2,1,NA,2,NA,NA,NA
2010,NA,2,1,2,1,1,1,NA
2010,2,1,2,1,1,NA,1,NA
2010,1,2,1,NA,1,2,NA,NA
2010,1,1,2,1,2,2,NA,NA
